KEY	SRR1554537	SRR1554538	SRR1554568	SRR1554535	SRR1554536	SRR1554539
63875	1370	1820	994	1313	342	1101
63876	5106	3962	3454	4138	747	5412
63877	2674	3626	2535	3177	821	2397
6388	2668	3026	1667	1604	451	1322
6389	4205	5474	4214	9275	1479	7228
63891	7275	6589	6293	5866	797	6074
63892	3975	3842	4032	1213	284	1098
63893	11898	13885	13003	8591	904	9236
63894	4620	5519	4151	1961	468	1462
63895	642	466	476	937	92	935
63897	3520	4061	3225	1232	236	1123
63898	241	117	64	72	59	27
63899	1342	1592	1191	433	133	455
639	136	274	77	111	107	169
6390	3322	3636	2623	5235	1354	3995
63901	2449	2932	3778	495	271	283
63904	0	0	0	0	0	0
63905	2628	3291	1615	3793	992	3107
63906	1814	1878	1239	1186	234	1044
63908	8598	9762	5685	61864	2212	71709
6391	2327	3364	1674	2258	1201	2531
63910	38	39	38	104	22	48
63914	271	268	312	26	11	59
63915	1	6	0	0	2	1
63916	11718	12490	10094	8164	2187	6333
63917	6484	6816	6093	6547	1296	7464
6392	813	1149	822	2786	1022	1587
63920	2140	2777	1738	555	144	413
63922	5713	5123	7374	1061	259	694
63923	25	132	38	23	4	32
63924	0	0	0	5	4	7
63925	5299	5129	4530	3152	735	2548
63926	332	701	491	166	17	202
63928	19	65	38	33	6	19
63929	1677	1969	1881	946	346	699
63930	7	5	3	2	0	2
63931	2670	3114	2384	2175	1039	1853
63932	942	1109	974	1037	192	752
63933	10649	9138	4487	3160	1166	2892
63934	5279	5075	4109	2414	351	2746
63935	8035	7627	7338	3614	791	2434
63939	6922	11882	5941	5787	926	8584
63940	0	0	0	0	0	0
63941	1786	2239	1794	4605	1106	4436
63943	0	0	0	0	0	0
63946	0	0	0	0	0	0
63947	2	0	0	1	0	0
63948	11	17	3	0	0	0
63950	1796	1541	2282	49	5	24
63951	57	83	63	11	21	3
6396	4936	5129	3727	2538	794	1893
63967	2026	1976	2621	171	24	326
6397	12092	13966	10694	7109	2353	6571
63970	61	52	56	51	21	61
63971	6220	5095	4772	3923	1809	2919
63973	7787	11092	10841	64	4	25
63974	57132	45067	72578	5457	250	4610
63976	4429	6424	4705	1642	937	553
63977	3556	3324	2394	732	86	885
63978	0	0	0	0	0	0
63979	4455	4484	3534	800	92	947
6398	9	6	15	62	15	39
63982	172	98	34	3769	307	5598
6399	3653	3900	3099	1207	349	998
640	1	4	5	9	2	6
6400	13183	16106	10226	6922	1517	9671
64002	0	0	0	0	0	0
64005	81	49	71	24	96	52
6401	8	15	40	17	30	4
6402	18	27	18	128	54	86
6403	4	11	26	3	0	3
6404	254	309	155	465	76	111
6405	6921	5362	6399	478	191	392
6406	0	0	0	0	0	2
64061	2723	3146	1719	23635	2796	20099
64062	13978	18576	14604	7913	1691	7243
64063	0	2	0	1	2	0
64064	2	4	4	41	6	31
64065	106	317	54	424	358	283
64066	0	4	0	0	0	0
64067	2659	4559	3766	2707	1510	1387
6407	0	2	0	3	0	4
64072	1504	2335	4467	555	232	391
64073	0	0	0	0	0	0
64077	770	648	621	5998	2523	3078
64078	4	4	6	2	0	6
64080	96	177	103	202	115	175
64081	606	839	803	652	251	359
64083	7153	8081	6964	4650	1248	3765
64084	1599	4263	5295	1374	52	4160
64087	1940	2273	2575	2401	906	1419
64089	1296	1471	1681	1122	206	857
64090	0	1	0	0	0	0
64091	123	261	103	83	33	27
64092	129	128	116	149	33	39
64093	7815	10157	6355	3131	1558	1512
64094	210	158	69	465	903	455
64096	2	0	0	12	4	3
64097	9958	6672	8897	2314	977	1538
64098	1058	1071	668	1887	310	1184
641	801	1027	1481	385	185	449
64100	0	0	0	0	0	0
64101	7911	7815	10133	6739	755	8558
64102	4	6	8	30	10	9
64105	916	1388	1941	32	14	20
64106	2	24	1	27	3	7
64108	0	2	0	35	21	47
64109	0	0	0	0	0	0
64110	5657	5969	3666	3777	775	3177
64111	0	0	0	0	0	0
64112	0	0	0	0	0	0
64114	683	1179	401	5104	2961	1807
64115	389	562	352	2110	1561	780
64116	353	658	300	1003	988	877
64118	5054	4184	4249	4247	1202	2551
64121	3402	4934	2656	2740	604	2300
64122	4277	3600	2517	8582	1136	4858
64123	462	799	355	355	815	447
64127	22	7	34	28	18	20
64129	111	107	95	923	1443	697
641298	31	70	16	4	0	9
64130	995	1000	691	1234	308	1101
64131	7448	9109	4452	2691	972	4730
641311	0	1	0	0	0	4
64132	1314	1484	1442	1802	580	1325
641339	1066	1544	1378	382	86	374
64135	206	289	204	502	242	461
641364	15	110	22	4	9	5
641365	0	0	0	0	0	0
641367	0	0	0	0	0	0
64137	770	1224	983	2555	227	2308
641371	250	385	112	648	352	152
641372	15	28	11	61	31	39
641373	7	21	0	3	0	0
641384	0	6	0	0	0	0
6414	476	1171	734	5049	1133	2950
64145	13187	15081	11214	6050	1301	7264
641451	2	7	5	1	0	5
641455	0	0	0	0	0	0
64146	92	99	66	172	10	215
641467	647	774	684	322	40	425
64147	491	593	405	746	152	645
64149	3025	4642	5017	3067	473	2784
6415	5604	6892	2657	14541	8959	10985
64150	2	8	4	15	17	15
64151	2290	2903	5521	21	18	26
641515	4	23	9	4	4	4
641516	2	2	13	2	0	1
641517	1	0	0	0	0	0
641518	2	5	8	10	8	3
6416	4371	5660	4234	11175	763	12687
641638	9187	9761	7740	2629	1893	1496
641648	166	164	240	78	12	31
641649	1112	1013	934	513	200	382
641654	0	0	0	0	0	0
64167	105	159	120	765	312	318
64168	7889	6202	302	15079	1453	23553
64170	93	71	79	186	84	114
641700	264	473	281	39	155	37
641702	0	0	0	0	0	0
64172	1592	1887	1518	700	174	486
64174	38	92	38	91	53	76
641746	1	13	16	2	1	2
64175	2402	2837	2526	824	283	651
6418	29219	31822	25180	7959	2499	6919
64180	7	3	2	4	15	6
64184	0	0	0	0	0	0
6419	2656	3232	2323	915	158	698
641977	1381	1320	1046	717	213	687
642	4262	4415	3829	1763	422	1606
642006	0	0	0	2	1	1
64207	12128	11705	13718	3588	649	3053
64208	41	139	8	1571	77	890
6421	73974	88228	73607	12920	3763	13473
64210	10292	10433	9803	6649	1056	5398
64211	2	18	72	0	0	0
642131	0	0	0	0	0	0
64215	1422	1643	1884	690	313	442
64216	801	951	505	522	67	486
64218	3280	4822	1797	3511	1197	2088
64219	16609	18866	13539	4745	723	5137
6422	24737	32826	33576	1356	359	833
64220	340	504	583	23	55	16
64221	1408	1378	1089	1907	976	942
64222	1892	2255	1585	1310	349	957
64223	3571	3146	2487	5409	1747	4329
642236	3	6	3	4	2	1
64224	3900	3906	3908	1906	838	1330
642249	0	0	0	0	0	0
64225	6177	6882	5261	2998	1147	3704
642273	28	514	30	515	46	809
642280	362	510	326	125	39	143
6423	1542	1799	2509	1066	342	585
64231	6	74	10	30	13	57
64232	0	0	0	0	0	0
642345	237	184	16	74	4	116
